,mh,width,xsec,exsec,xsec_acc,exsec_acc
67,775.0,10.0,3.58355e-05,4.824e-07,2.7527200000000003e-05,2.2956e-07
68,785.0,10.0,3.22912e-05,3.9692e-07,2.57631e-05,2.4227e-07
69,795.0,10.0,2.97777e-05,3.7626e-07,2.32925e-05,1.7502e-07
70,805.0,10.0,2.8809200000000002e-05,3.8685e-07,2.0581700000000003e-05,1.5447e-07
71,815.0,10.0,2.72711e-05,3.7878e-07,2.0072e-05,1.7892000000000002e-07
72,825.0,10.0,2.44732e-05,3.1383000000000005e-07,1.81972e-05,1.5729e-07
73,835.0,10.0,2.31413e-05,2.9956e-07,1.70259e-05,1.7720999999999998e-07
74,845.0,10.0,2.03411e-05,3.0442e-07,,
75,855.0,10.0,1.96906e-05,3.0087e-07,,
76,865.0,10.0,1.83707e-05,2.0607000000000002e-07,1.38082e-05,1.2371e-07
77,875.0,10.0,1.71953e-05,2.1336e-07,1.2822500000000001e-05,1.0494e-07
78,885.0,10.0,1.55551e-05,2.1774000000000002e-07,1.16881e-05,1.4940999999999999e-07
79,895.0,10.0,1.49465e-05,1.795e-07,1.11872e-05,1.225e-07
80,905.0,10.0,1.3738600000000001e-05,1.9459e-07,1.0309799999999999e-05,9.857900000000001e-08
81,915.0,10.0,1.2077700000000001e-05,1.5358e-07,9.38569e-06,9.0001e-08
82,925.0,10.0,1.27143e-05,1.3760000000000001e-07,9.06764e-06,7.647799999999999e-08
83,935.0,10.0,1.09618e-05,1.4933e-07,8.60586e-06,7.577000000000001e-08
84,945.0,10.0,1.03865e-05,1.2391e-07,7.86427e-06,7.655799999999999e-08
85,955.0,10.0,9.88493e-06,1.453e-07,7.370630000000001e-06,7.7619e-08
86,965.0,10.0,8.95743e-06,1.0899e-07,6.66125e-06,6.2924e-08
87,975.0,10.0,7.84335e-06,1.3186e-07,6.20844e-06,7.405e-08
88,985.0,10.0,7.98434e-06,1.4996e-07,6.1089e-06,5.0841000000000005e-08
89,995.0,10.0,7.30381e-06,1.1558e-07,5.57783e-06,4.9852e-08
90,1025.0,50.0,3.16431e-05,1.7102e-07,2.3704200000000003e-05,8.7575e-08
