mh,hbb,htautau,hmumu,hcc,htt,hgluglu,hgg,hzg,hww,hzz
480.00,7.204E-03,9.945E-04,3.517E-06,3.526E-04,1.119E+01,3.820E-02,2.495E-05,5.241E-04,3.022E+01,1.438E+01
490.00,7.327E-03,1.015E-03,3.590E-06,3.586E-04,1.199E+01,3.938E-02,2.126E-05,5.196E-04,3.236E+01,1.544E+01
500.00,7.452E-03,1.036E-03,3.663E-06,3.648E-04,1.278E+01,4.052E-02,1.802E-05,5.151E-04,3.460E+01,1.654E+01
550.00,8.070E-03,1.139E-03,4.029E-06,3.948E-04,1.651E+01,4.539E-02,7.930E-06,4.925E-04,4.734E+01,2.280E+01
600.00,8.677E-03,1.243E-03,4.395E-06,4.245E-04,1.994E+01,4.921E-02,7.031E-06,4.707E-04,6.274E+01,3.039E+01
650.00,9.281E-03,1.347E-03,4.764E-06,4.542E-04,2.314E+01,5.243E-02,1.429E-05,4.508E-04,8.110E+01,3.945E+01
700.00,9.874E-03,1.450E-03,5.128E-06,4.831E-04,2.613E+01,5.497E-02,2.905E-05,4.325E-04,1.026E+02,5.010E+01
750.00,1.046E-02,1.554E-03,5.493E-06,5.118E-04,2.898E+01,5.711E-02,5.099E-05,4.173E-04,1.275E+02,6.245E+01
800.00,1.105E-02,1.658E-03,5.861E-06,5.406E-04,3.169E+01,5.896E-02,7.996E-05,4.051E-04,1.561E+02,7.663E+01
850.00,1.163E-02,1.761E-03,6.229E-06,5.691E-04,3.430E+01,6.050E-02,1.159E-04,3.961E-04,1.886E+02,9.276E+01
900.00,1.221E-02,1.865E-03,6.594E-06,5.971E-04,3.681E+01,6.179E-02,1.587E-04,3.911E-04,2.252E+02,1.110E+02
950.00,1.278E-02,1.969E-03,6.962E-06,6.250E-04,3.926E+01,6.293E-02,2.087E-04,3.899E-04,2.662E+02,1.314E+02
1000.00,1.334E-02,2.072E-03,7.326E-06,6.528E-04,4.163E+01,6.392E-02,2.660E-04,3.932E-04,3.118E+02,1.541E+02
