m_x,br_gg,br_zz,xsec,exsec,xsec_br_zz,br_zz_lo,xsec_lo,xsec_br_lo_smw,xsec_br_nlo_smw
1400.0,1.6e-06,0.0015582,0.03723075,2.4898749999999996e-06,5.80143e-05,0.0015582,0.00592411,7.875570000000001e-06,4.2880300000000003e-05
1500.0,2e-06,0.0019229,0.0276837,1.853735e-06,-1.0,0.0019229,0.0036815600000000004,6.36109e-06,3.96837e-05
1600.0,2.6e-06,0.0023399,0.0207909,1.3939300000000003e-06,-1.0,0.0023399,0.00233301,5.15084e-06,3.66237e-05
1700.0,3.1e-06,0.0028129,0.01575195,1.057505e-06,-1.0,0.0028129,0.00150436,4.182240000000001e-06,3.37126e-05
1800.0,3.8e-06,0.0033453,0.01202745,8.08585e-07,-1.0,0.0033453,0.000985254,3.4055000000000003e-06,3.09586e-05
1900.0,4.6e-06,0.0039406,0.00924729,6.2254e-07,-1.0,0.0039406,0.0006543639999999999,2.7811300000000003e-06,2.8366100000000003e-05
2000.0,5.4e-06,0.0046023,0.007153845000000001,4.8234e-07,-1.0,0.0046023,0.00044012099999999997,2.2779800000000003e-06,2.59366e-05
2100.0,6.3e-06,0.0053339,0.00556505,3.758e-07,-1.0,0.0053339,0.00029942600000000004,1.87141e-06,2.3669e-05
2200.0,7.3e-06,0.0061389,0.0043507549999999996,2.9428e-07,-1.0,0.0061389,0.00020583599999999999,1.5420099999999999e-06,2.15604e-05
2300.0,8.4e-06,0.0070208,0.00341676,2.315025e-07,-1.0,0.0070208,0.000142846,1.27437e-06,1.96064e-05
2400.0,9.6e-06,0.0079831,0.00269418,1.8287300000000003e-07,-1.0,0.0079831,9.999370000000001e-05,1.05631e-06,1.7800799999999997e-05
2500.0,1.1e-05,0.0090293,0.002132195,1.45005e-07,-1.0,0.0090293,7.055269999999999e-05,8.78151e-07,1.6136899999999998e-05
2600.0,1.24e-05,0.0101629,0.001693015,1.153715e-07,-1.0,0.0101629,5.0142199999999996e-05,7.32178e-07,1.46073e-05
2700.0,1.4e-05,0.0113873,0.001348305,9.207600000000001e-08,-1.0,0.0113873,3.58742e-05,6.122499999999999e-07,1.32044e-05
2800.0,1.56e-05,0.0127061,0.0010766550000000001,7.36875e-08,-1.0,0.0127061,2.58234e-05,5.13454e-07,1.19204e-05
2900.0,1.74e-05,0.0141227,0.0008618075,5.912500000000001e-08,-1.0,0.0141227,1.8693100000000002e-05,4.31849e-07,1.0747400000000001e-05
3000.0,1.93e-05,0.0156408,0.0006913215000000001,4.75485e-08,-1.0,0.0156408,1.36017e-05,3.64266e-07,9.677919999999999e-06
3100.0,2.14e-05,0.0172636,0.000555632,3.8318e-08,-1.0,0.0172636,9.94409e-06,3.08151e-07,-1.0
3200.0,2.36e-05,0.0189948,0.000447343,3.09365e-08,-1.0,0.0189948,7.30191e-06,2.61441e-07,0.0
3300.0,2.59e-05,0.0208379,0.000360706,2.50235e-08,-1.0,0.0208379,5.383350000000001e-06,2.22461e-07,0.0
3400.0,2.84e-05,0.0227963,0.00029123450000000003,2.0270850000000002e-08,-1.0,0.0227963,3.98355e-06,1.89849e-07,0.0
3500.0,3.11e-05,0.0248735,0.00023541300000000002,1.64435e-08,-1.0,0.0248735,2.9577100000000004e-06,1.62498e-07,0.0
3600.0,3.39e-05,0.027073,0.000190477,1.335525e-08,-1.0,0.027073,2.20285e-06,1.39501e-07,0.0
3700.0,3.68e-05,0.0293984,0.0001542445,1.08595e-08,-1.0,0.0293984,1.64528e-06,1.2011700000000002e-07,0.0
3800.0,4e-05,0.0318531,0.00012498700000000001,8.83865e-09,-1.0,0.0318531,1.232e-06,1.0374000000000001e-07,0.0
3900.0,4.33e-05,0.0344406,0.00010133100000000001,7.20055e-09,-1.0,0.0344406,9.246750000000001e-07,8.98668e-08,0.0
4000.0,4.67e-05,0.0371644,8.21833e-05,5.87065e-09,-1.0,0.0371644,6.95471e-07,7.8087e-08,0.0
4100.0,5.04e-05,0.040028,6.66691e-05,4.789799999999999e-09,-1.0,0.040028,5.24064e-07,6.80593e-08,0.0
4200.0,5.42e-05,0.0430349,5.408875e-05,3.9103000000000004e-09,-1.0,0.0430349,3.9556e-07,5.95018e-08,0.0
4300.0,5.82e-05,0.0461886,4.3880550000000005e-05,3.19415e-09,-1.0,0.0461886,2.9900199999999997e-07,5.21806e-08,0.0
4400.0,6.24e-05,0.0494926,3.5592699999999996e-05,2.6105e-09,-1.0,0.0494926,2.26299e-07,4.5901e-08,0.0
4500.0,6.68e-05,0.0529504,2.8861399999999998e-05,2.13445e-09,-1.0,0.0529504,1.71457e-07,4.05011e-08,0.0
4600.0,7.15e-05,0.0565654,2.33929e-05,1.746025e-09,-1.0,0.0565654,1.3002e-07,3.5845800000000005e-08,0.0
4700.0,7.63e-05,0.0603412,1.8949600000000002e-05,1.4288499999999999e-09,-1.0,0.0603412,9.86648e-08,3.18219e-08,0.0
4800.0,8.13e-05,0.0642813,1.53393e-05,1.169765e-09,-1.0,0.0642813,7.4909e-08,2.8334600000000003e-08,0.0
4900.0,8.65e-05,0.0683892,1.24061e-05,9.58475e-10,-1.0,0.0683892,5.68908e-08,2.5304300000000002e-08,0.0
5000.0,9.2e-05,0.0726683,1.00237e-05,7.879150000000001e-10,-1.0,0.0726683,4.32119e-08,2.2664e-08,0.0
