m_x,xsec
90.0,48.54123218911335
95.0,43.50952685876994
100.0,39.65184198076119
105.0,36.422076884220715
110.0,33.86093331883426
115.0,31.272341017095684
120.0,28.763650484236646
125.0,27.400460573963052
130.0,25.914926206388234
135.0,24.09416914190772
140.0,22.58820922273317
145.0,21.194146396482953
150.0,20.189803957112602
155.0,19.1248052054405
160.0,17.729664619333807
165.0,17.243892726425013
170.0,16.13430895247456
175.0,15.385109584860983
180.0,14.52104971538072
185.0,14.127818562007777
190.0,13.238778743511201
195.0,12.857654560591575
200.0,12.249116677161007
205.0,12.04195576839833
210.0,11.46511094280014
215.0,10.88401235199505
220.0,10.535810231428016
225.0,10.282514993043476
230.0,9.999139515393855
235.0,9.495066203402352
240.0,9.426433632177224
245.0,9.251673899614913
250.0,8.828052206744879
255.0,8.569947124023757
260.0,8.427637492825044
265.0,8.177422835078344
270.0,8.12227397673742
275.0,8.013247266926562
280.0,7.990160827409878
285.0,7.742112761360051
290.0,7.831584650922906
295.0,7.700744970471935
300.0,7.745251766366031
305.0,7.742177182797624
310.0,7.897993409886322
315.0,8.108213795970613
320.0,8.494067935226653
325.0,8.900123067508794
330.0,8.997177789669948
335.0,9.092771749810113
340.0,8.996595935683047
345.0,8.859723623478114
350.0,8.866473440102327
355.0,8.771980888454744
360.0,8.514555089917433
365.0,8.163192890621465
370.0,7.99084461996968
375.0,7.824466160315858
380.0,7.602922654605353
385.0,7.310406642728448
390.0,6.9901027815690755
395.0,6.731458506802666
400.0,6.48470720637718
405.0,6.196267371431967
410.0,5.899269863873036
415.0,5.772983823156745
420.0,5.461333578643459
425.0,5.274578635510071
430.0,5.056380847850453
435.0,4.877338280520595
440.0,4.62124819476081
445.0,4.474077485553872
450.0,4.270067044626413
455.0,4.099361588540723
460.0,3.9103104530677117
465.0,3.7384225272936074
470.0,3.570756528513818
475.0,3.4315897081699043
480.0,3.195359929511127
485.0,3.0571645947358204
490.0,2.9856397371204078
495.0,2.824037995510999
500.0,2.749517107516866
510.0,2.52519940107072
520.0,2.2952061908064936
530.0,2.118806513220099
540.0,1.9024766109779514
550.0,1.784623406339813
560.0,1.6014281503568495
570.0,1.472136852294337
580.0,1.3560198234814622
590.0,1.2283635012174436
600.0,1.150617312833817
610.0,1.0820261454462174
620.0,0.9754301580663804
630.0,0.8922662032491978
640.0,0.8167631346368172
650.0,0.7403599308926113
660.0,0.7083948940772232
670.0,0.6386537271956751
680.0,0.6027718285160955
690.0,0.5423468430484438
700.0,0.5132992895026051
710.0,0.4664706128864515
720.0,0.43525246702392534
730.0,0.39955369305300953
740.0,0.3791540764546053
750.0,0.3539095962237981
760.0,0.3205216668802183
770.0,0.30171118615582115
780.0,0.2812251789423441
790.0,0.2625579874221865
800.0,0.24405242475631767
810.0,0.2235026559313855
820.0,0.20816206730638231
830.0,0.19448530553902094
840.0,0.18067865792959117
850.0,0.16920279323601758
860.0,0.16091884552243096
870.0,0.1511698231105309
880.0,0.13724042660434166
890.0,0.13048556852215212
900.0,0.12389973422148455
910.0,0.11542122404034534
920.0,0.10814808565889726
930.0,0.10174924735815023
940.0,0.09499144209219787
950.0,0.08888248171564207
960.0,0.08310364890419365
970.0,0.07764875335486335
980.0,0.07351054375765786
990.0,0.07135661258163624
1000.0,0.06493004796775602
1010.0,0.061891698323745095
1020.0,0.05870577724247452
1030.0,0.054482230206704126
1040.0,0.05119860065228825
1050.0,0.048269639018949755
1060.0,0.04500962405840118
1070.0,0.04287482079912771
1080.0,0.041110179242151906
1090.0,0.0388267183619422
1100.0,0.035867011348520945
1110.0,0.03392134270907609
1120.0,0.0318332999143424
1130.0,0.030248975925916223
1140.0,0.028684560103669505
