,xsec
90.0,47.019585419726354
95.0,43.15960315669331
100.0,39.22165310672729
105.0,36.16787183884242
110.0,33.71434526236671
115.0,31.80118163229357
120.0,29.264295914313287
125.0,27.85218150790966
130.0,25.38030514582448
135.0,23.817872293810726
140.0,22.718005406339188
145.0,21.720751141623463
150.0,20.05564122547523
155.0,18.90575439835393
160.0,17.732398952272227
165.0,16.860697262584452
170.0,16.234956087475865
175.0,15.227306560988543
180.0,14.930755988142806
185.0,14.055397474720936
190.0,13.317410945675336
195.0,12.895218950437098
200.0,12.462186773360608
205.0,11.831995901034889
210.0,11.305090407778957
215.0,10.857626878928638
220.0,10.76848024457369
225.0,10.206821867965441
230.0,10.06302203544017
235.0,9.567290668514428
240.0,9.448722588955318
245.0,9.058787073216342
250.0,8.744139702527638
255.0,8.587957618799589
260.0,8.403451335278668
265.0,8.25675117421948
270.0,8.102904730802235
275.0,8.053816485825653
280.0,7.762547715839739
285.0,7.720810947134754
290.0,7.960992425634844
295.0,7.8286520245959
300.0,8.003030361886298
305.0,8.013168427086324
310.0,8.102998398095004
315.0,8.373942647748247
320.0,8.44640764319255
325.0,8.662819008925633
330.0,8.790324641280254
335.0,8.728293414059205
340.0,8.836115630470578
345.0,8.577130802939122
350.0,8.45201999301949
355.0,8.412565354411791
360.0,8.11480994762494
365.0,7.924947469194343
370.0,7.7397201033128376
375.0,7.380655430788305
380.0,7.127024128813876
385.0,6.86088191932847
390.0,6.613708339383962
395.0,6.35580040230735
400.0,6.085606246052036
405.0,5.817595909862311
410.0,5.513267626862418
415.0,5.40665119651568
420.0,5.295109773616577
425.0,4.923794491071142
430.0,4.776931387145319
435.0,4.425755231206885
440.0,4.392432734099069
445.0,4.161935415967797
450.0,3.8903990455205704
455.0,3.753663526028155
460.0,3.581333864743256
465.0,3.4786800630616805
470.0,3.329816622795467
475.0,3.1415626533624814
480.0,2.987264047472919
485.0,2.94326670904666
490.0,2.7753103699605446
495.0,2.5764622998254865
500.0,2.540581415730138
510.0,2.328598389453221
520.0,2.1488006752005897
530.0,1.9578497650356381
540.0,1.8091321524321524
550.0,1.6439787871185287
560.0,1.5194502789224866
570.0,1.4260261285762812
580.0,1.3150018013068525
590.0,1.2180381920881653
600.0,1.1112435134154672
610.0,1.0226147785387096
620.0,0.9773957915416379
630.0,0.8971572498402551
640.0,0.8304146750785639
650.0,0.7741558769830698
660.0,0.7309532289149724
670.0,0.6814799898929811
680.0,0.6394772832640655
690.0,0.588272335111292
700.0,0.5613514055703543
710.0,0.5267248526858667
720.0,0.4838729331976872
730.0,0.46493897107521276
740.0,0.4427381970868141
750.0,0.4102955107451762
760.0,0.3857959523018276
770.0,0.3627378193191144
780.0,0.3510398279727452
790.0,0.32607309466243445
800.0,0.3083170932819617
810.0,0.2928084646990632
820.0,0.2802374757004719
830.0,0.262606592302433
840.0,0.24886970496521718
850.0,0.2403070941400534
860.0,0.22946535156427714
870.0,0.2183978024518473
880.0,0.20528684704130606
890.0,0.1948153476369183
900.0,0.1911496585585141
910.0,0.18250319435493845
920.0,0.1756444371791002
930.0,0.16663944496715136
940.0,0.16004589797932017
950.0,0.15331410323239011
960.0,0.14461485268500063
970.0,0.13944543663080888
980.0,0.1343091779768386
990.0,0.13319761749576195
1000.0,0.12347279426791398
1010.0,0.12177475013344403
1020.0,0.11525295780335898
1030.0,0.10975722844524795
1040.0,0.10853784936015812
1050.0,0.1034423187176461
1060.0,0.10002546466735095
1070.0,0.09667499505240586
1080.0,0.09454868554305859
1090.0,0.09263708090447698
1100.0,0.08888911881650904
1110.0,0.08630789225995167
1120.0,0.0826213958200351
1130.0,0.08131024712942676
1140.0,0.07843389459371769
1150.0,0.07732315430808802
1160.0,0.07544466304760883
1170.0,0.07322314610330931
1180.0,0.06884631113831063
1190.0,0.06744956643795989
1200.0,0.06634723928218458
1210.0,0.06414092832121691
1220.0,0.0639441061476597
1230.0,0.06028107932984484
1240.0,0.059088255592031465
1250.0,0.0579596480117677
1260.0,0.055828387411348615
1270.0,0.05530957879613793
1280.0,0.05482764678914836
1290.0,0.05230838177818747
1300.0,0.05079587397791994
1310.0,0.050110416083512764
1320.0,0.050189490157321257
1330.0,0.04842950997149315
1340.0,0.047757728994289636
1350.0,0.04585604289762517
1360.0,0.04443953395299249
1370.0,0.04365517162906009
1380.0,0.04244281750585104
1390.0,0.042111842590388436
1400.0,0.04161576159982775
1410.0,0.040302815479057646
1420.0,0.039295048663294835
1430.0,0.03873548740131967
1440.0,0.03747245518041811
1450.0,0.03721717017776965
1460.0,0.036077453652437586
1470.0,0.03565795026575441
1480.0,0.03470119054369702
1490.0,0.034511189245476775
1500.0,0.033699513858518014
1510.0,0.033136160397959746
1520.0,0.032502072714311686
1530.0,0.03258197819498376
1540.0,0.030960129804463367
1550.0,0.03013968965570829
1560.0,0.029879119025275534
1570.0,0.029821358993290244
1580.0,0.02935102930339856
1590.0,0.02890899898980811
1600.0,0.028099930057271898
1610.0,0.028093163615942055
1620.0,0.027689405396737317
1630.0,0.02693417535165366
1640.0,0.02665055795042365
1650.0,0.0261513578646191
1660.0,0.025182400327124415
1670.0,0.025188479603034396
1680.0,0.024925163500365326
1690.0,0.024526606982566118
1700.0,0.023498414381087414
1710.0,0.023218568245728495
1720.0,0.02358536766725982
1730.0,0.02301183570782689
1740.0,0.02234511593625039
1750.0,0.022493353502985404
