m_x,xsec
90.0,48.54123252998824
95.0,43.50952727964014
100.0,39.651842677255225
105.0,36.42207980415999
110.0,33.86093664070398
115.0,31.27234511923453
120.0,28.763665068428892
125.0,27.40047572032642
130.0,25.914924913091554
135.0,24.093948299578127
140.0,22.57635453902975
145.0,21.19418705139164
150.0,20.189867193653686
155.0,19.124816704704177
160.0,17.68504287205175
165.0,17.243900557651607
170.0,16.128306219318766
175.0,15.375434822876612
180.0,14.521041601897313
185.0,14.127917172569715
190.0,13.249179210936065
195.0,12.857676792175456
200.0,12.249149356518155
205.0,12.064288174876442
210.0,11.465139843049483
215.0,10.951091813348555
220.0,10.532776857099412
225.0,10.282513350246907
230.0,9.999145688843212
235.0,9.482355211450688
240.0,9.397319036733956
245.0,9.251690631987822
250.0,8.82806538881919
255.0,8.560031880457368
260.0,8.445606876680609
265.0,8.177400043743948
270.0,8.122299890390796
275.0,8.013250215959207
280.0,7.990170521376732
285.0,7.74212904393506
290.0,7.852595780906749
295.0,7.718280729435899
300.0,7.750643397820665
305.0,7.725247858415181
310.0,7.913310031557092
315.0,8.108222510139752
320.0,8.49407686145373
325.0,8.900128469014245
330.0,8.997196068361825
335.0,9.092777984288757
340.0,8.996598082406916
345.0,8.863469235928248
350.0,8.866479662331718
355.0,8.773625054090363
360.0,8.502924903822198
365.0,8.163193342099143
370.0,7.990840420333739
375.0,7.824465929262695
380.0,7.608443173324429
385.0,7.310398516093579
390.0,6.991833156873723
395.0,6.731249218484086
400.0,6.484705110987945
405.0,6.212530848254312
410.0,5.903264633486999
415.0,5.780825952302629
420.0,5.462044973609011
425.0,5.2745905800992245
430.0,5.056039042367925
435.0,4.877345451847159
440.0,4.621252977711435
445.0,4.474082978867552
450.0,4.266324387203966
455.0,4.099362586623502
460.0,3.90476055454127
465.0,3.7434954054606746
470.0,3.57075723487557
475.0,3.4340484455333273
480.0,3.1998288323533175
485.0,3.063902884794147
490.0,2.9856416202610805
495.0,2.824034271386861
500.0,2.749518586621811
510.0,2.529745736609734
520.0,2.307726472354879
530.0,2.121803766696481
540.0,1.9024761579581573
550.0,1.7846229099945636
560.0,1.604313860466774
570.0,1.472139254913051
580.0,1.358069381551144
590.0,1.2283628276761573
600.0,1.1506164256322764
610.0,1.0820242248768537
620.0,0.9754302434315989
630.0,0.8922658315179115
640.0,0.8167645681078634
650.0,0.7402863548032311
660.0,0.7035743190863041
670.0,0.6386543526164907
680.0,0.6027255388653385
690.0,0.5428565749500915
700.0,0.5132991902321734
710.0,0.4664710730241344
720.0,0.43525257725325084
730.0,0.39955887687951397
740.0,0.379154042191503
750.0,0.3548091445569949
760.0,0.32037743129258794
770.0,0.30160720344202374
780.0,0.2808052555762064
790.0,0.26255767038328465
800.0,0.24246844149041408
810.0,0.2235024470317497
820.0,0.2081625894765169
830.0,0.19448569509340202
840.0,0.18089331988321145
850.0,0.16963146135042548
860.0,0.1612855854057649
870.0,0.15105946884355476
880.0,0.13728881892568864
890.0,0.13048544187097622
900.0,0.12319103314512014
910.0,0.11542151115840676
920.0,0.10814810069072762
930.0,0.10174943150103467
940.0,0.09499159428512666
950.0,0.0887263920855474
960.0,0.0828297786282589
970.0,0.0775110403165367
980.0,0.07350498587378204
990.0,0.07135670799834715
1000.0,0.06493010298664342
1010.0,0.061874588436702176
1020.0,0.058646003747815305
1030.0,0.05448217529843771
1040.0,0.05114399350216282
1050.0,0.04821198292595733
1060.0,0.04508690359969427
1070.0,0.042874660132233657
1080.0,0.04111960484554842
1090.0,0.038793946012220214
1100.0,0.03575325624185742
1110.0,0.03392140836241026
1120.0,0.031773855264518695
1130.0,0.030469549345170238
1140.0,0.02868450353398737
1150.0,0.027500118582765548
1160.0,0.025932127366906265
1170.0,0.024320178782313854
1180.0,0.02305171046854193
1190.0,0.021769800777359145
1200.0,0.020423640803884823
1210.0,0.019385957598187786
1220.0,0.01843832981986313
1230.0,0.01788087540433741
1240.0,0.01657503904045167
1250.0,0.016027640986464038
1260.0,0.015225138452138897
