m,effs
130.0,0.6710363638907342
135.0,0.6747869859247084
140.0,0.6784448519670377
145.0,0.6820127737671737
150.0,0.6854934623229665
155.0,0.6888895320405747
160.0,0.6922035047001756
165.0,0.6954378132375767
170.0,0.6985948053512532
175.0,0.7016767469437897
180.0,0.7046858254062004
185.0,0.7076241527531213
190.0,0.7104937686164183
195.0,0.7132966431043416
200.0,0.7160346795329515
205.0,0.7187097170361789
210.0,0.7213235330605309
215.0,0.7238778457501205
220.0,0.7263743162273997
225.0,0.7288145507746759
230.0,0.7312001029212247
235.0,0.7335324754405533
240.0,0.7358131222621245
245.0,0.7380434503016278
250.0,0.7402248212136643
255.0,0.7423585530705132
260.0,0.7444459219704559
265.0,0.7464881635789513
270.0,0.7484864746057907
275.0,0.7504420142211943
280.0,0.7523559054136665
285.0,0.7542292362922789
290.0,0.7560630613359165
295.0,0.7578584025918984
300.0,0.7596162508262575
305.0,0.7613375666278548
310.0,0.7630232814683955
315.0,0.764674298720308
320.0,0.7662914946343579
325.0,0.7678757192787683
330.0,0.7694277974415421
335.0,0.7709485294975902
340.0,0.7724386922421989
345.0,0.7738990396922923
350.0,0.7753303038568802
355.0,0.7767331954780087
360.0,0.7781084047434793
365.0,0.7794566019725303
370.0,0.7807784382756289
375.0,0.7820745461894617
380.0,0.7833455402881657
385.0,0.78459201777179
390.0,0.7858145590329337
395.0,0.7870137282024665
400.0,0.7881900736751886
405.0,0.7893441286162555
410.0,0.7904764114491537
415.0,0.7915874263259735
420.0,0.7926776635806996
425.0,0.7937476001662004
430.0,0.7947977000755723
435.0,0.7958284147484631
440.0,0.7968401834629708
445.0,0.7978334337136919
450.0,0.7988085815764622
455.0,0.7997660320603159
460.0,0.8007061794471602
465.0,0.8016294076196451
470.0,0.8025360903776859
475.0,0.8034265917440775
480.0,0.8043012662596182
485.0,0.8051604592681462
490.0,0.8060045071918733
495.0,0.8068337377973848
500.0,0.8076484704526569
505.0,0.8084490163754328
510.0,0.8092356788732797
515.0,0.8100087535756384
520.0,0.8107685286581635
525.0,0.8115152850596404
530.0,0.8122492966917525
535.0,0.8129708306419624
540.0,0.8136801473697592
545.0,0.8143775008965135
550.0,0.8150631389891726
555.0,0.8157373033380203
560.0,0.8164002297287133
565.0,0.8170521482088013
570.0,0.8176932832489284
575.0,0.8183238538989032
580.0,0.8189440739388235
585.0,0.8195541520254279
590.0,0.8201542918338427
595.0,0.8207446921948871
600.0,0.8213255472280918
605.0,0.8218970464705786
610.0,0.822459375001948
615.0,0.8230127135653091
620.0,0.823557238684589
625.0,0.8240931227782444
630.0,0.824620534269504
635.0,0.8251396376932554
640.0,0.8256505937996929
645.0,0.8261535596548354
650.0,0.8266486887380197
655.0,0.8271361310364699
660.0,0.8276160331370435
665.0,0.8280885383152448
670.0,0.8285537866215994
675.0,0.8290119149654754
680.0,0.8294630571964368
685.0,0.8299073441832081
690.0,0.8303449038903322
695.0,0.8307758614525926
700.0,0.8312003392472753
705.0,0.8316184569643402
710.0,0.8320303316745686
715.0,0.8324360778957525
720.0,0.8328358076569885
725.0,0.8332296305611379
730.0,0.8336176538455088
735.0,0.8339999824408195
740.0,0.8343767190284965
745.0,0.8347479640963584
750.0,0.8351138159927395
755.0,0.8354743709790977
760.0,0.8358297232811592
765.0,0.8361799651386401
770.0,0.8365251868535936
775.0,0.8368654768374221
780.0,0.837200921656598
785.0,0.8375316060771298
790.0,0.8378576131078155
795.0,0.838179024042316
800.0,0.8384959185000894
805.0,0.8388083744662161
810.0,0.8391164683301511
815.0,0.8394202749234343
820.0,0.8397198675563918
825.0,0.8400153180538561
830.0,0.8403066967899357
835.0,0.8405940727218636
840.0,0.8408775134229487
845.0,0.8411570851146601
850.0,0.841432852697868
855.0,0.8417048797832654
860.0,0.8419732287209967
865.0,0.8422379606295142
870.0,0.8424991354236862
875.0,0.8427568118421775
880.0,0.843011047474125
885.0,0.843261898785126
890.0,0.8435094211425616
895.0,0.8437536688402724
900.0,0.8439946951226066
905.0,0.8442325522078564
910.0,0.844467291311102
915.0,0.8446989626664784
920.0,0.8449276155488818
925.0,0.8451532982951333
930.0,0.8453760583246099
935.0,0.8455959421593646
940.0,0.8458129954437443
945.0,0.8460272629635216
950.0,0.8462387886645546
955.0,0.8464476156709861
960.0,0.8466537863029967
965.0,0.8468573420941217
970.0,0.8470583238081466
975.0,0.8472567714555903
980.0,0.8474527243097882
985.0,0.8476462209225862
990.0,0.8478372991396559
995.0,0.8480259961154408
1000.0,0.848212348327745
1005.0,0.8483963915919707
1010.0,0.8485781610750185
1015.0,0.8487576913088553
1020.0,0.8489350162037603
1025.0,0.8491101690612596
1030.0,0.8492831825867528
1035.0,0.8494540889018453
1040.0,0.849622919556389
1045.0,0.8497897055402439
1050.0,0.8499544772947631
1055.0,0.8501172647240122
1060.0,0.8502780972057273
1065.0,0.8504370036020209
1070.0,0.8505940122698401
1075.0,0.850749151071184
1080.0,0.8509024473830875
1085.0,0.8510539281073765
1090.0,0.8512036196801998
1095.0,0.8513515480813458
1100.0,0.8514977388433465
1105.0,0.8516422170603755
1110.0,0.8517850073969466
1115.0,0.8519261340964153
1120.0,0.8520656209892898
1125.0,0.8522034915013569
1130.0,0.8523397686616251
1135.0,0.8524744751100926
1140.0,0.8526076331053409
1145.0,0.8527392645319625
1150.0,0.852869390907822
1155.0,0.8529980333911601
1160.0,0.8531252127875393
1165.0,0.8532509495566386
1170.0,0.8533752638188995
1175.0,0.853498175362027
1180.0,0.8536197036473496
1185.0,0.8537398678160414
1190.0,0.8538586866952091
1195.0,0.853976178803849
1200.0,0.8540923623586741
1205.0,0.8542072552798181
1210.0,0.854320875196416
1215.0,0.8544332394520655
1220.0,0.8545443651101741
1225.0,0.8546542689591896
1230.0,0.8547629675177225
1235.0,0.8548704770395589
1240.0,0.8549768135185677
1245.0,0.8550819926935055
1250.0,0.8551860300527199
1255.0,0.8552889408387547
1260.0,0.8553907400528595
1265.0,0.8554914424594047
1270.0,0.8555910625902056
1275.0,0.8556896147487564
1280.0,0.855787113014377
1285.0,0.8558835712462747
1290.0,0.8559790030875217
1295.0,0.8560734219689516
1300.0,0.8561668411129764
1305.0,0.8562592735373247
1310.0,0.8563507320587053
1315.0,0.856441229296395
1320.0,0.8565307776757544
1325.0,0.8566193894316732
1330.0,0.8567070766119448
1335.0,0.8567938510805744
1340.0,0.8568797245210197
1345.0,0.8569647084393676
1350.0,0.8570488141674469
1355.0,0.8571320528658796
1360.0,0.8572144355270707
1365.0,0.8572959729781398
1370.0,0.8573766758837942
1375.0,0.8574565547491453
1380.0,0.8575356199224701
1385.0,0.8576138815979173
1390.0,0.8576913498181624
1395.0,0.857768034477009
1400.0,0.8578439453219401
1405.0,0.8579190919566206
1410.0,0.8579934838433498
1415.0,0.858067130305468
1420.0,0.8581400405297148
1425.0,0.858212223568544
1430.0,0.8582836883423923
1435.0,0.8583544436419059
1440.0,0.8584244981301233
1445.0,0.8584938603446173
1450.0,0.8585625386995953
1455.0,0.8586305414879615
1460.0,0.8586978768833375
1465.0,0.8587645529420472
1470.0,0.8588305776050619
1475.0,0.8588959586999106
1480.0,0.8589607039425543
1485.0,0.8590248209392233
1490.0,0.8590883171882225
1495.0,0.859151200081702
1500.0,0.859213476907394
