m,effs
130.0,0.5611238659481628
135.0,0.5636646098041944
140.0,0.5661387200455064
145.0,0.5685495439391763
150.0,0.5709001841049499
155.0,0.5731935217252659
160.0,0.575432237070924
165.0,0.5776188277061247
170.0,0.5797556246804572
175.0,0.581844806968892
180.0,0.5838884143822063
185.0,0.585888359138039
190.0,0.5878464362557438
195.0,0.5897643329155167
200.0,0.5916436369030755
205.0,0.5934858442449471
210.0,0.5952923661256064
215.0,0.5970645351659352
220.0,0.598803611132412
225.0,0.6005107861378018
230.0,0.6021871893866853
235.0,0.6038338915127515
240.0,0.60545190854925
245.0,0.6070422055691584
250.0,0.608605700027474
255.0,0.6101432648343739
260.0,0.6116557311847992
265.0,0.6131438911672573
270.0,0.6146085001721646
275.0,0.6160502791179185
280.0,0.6174699165109816
285.0,0.6188680703546026
290.0,0.6202453699193087
295.0,0.6216024173869941
300.0,0.6229397893792745
305.0,0.6242580383797369
310.0,0.625557694058787
315.0,0.6268392645089906
320.0,0.6281032373980575
325.0,0.6293500810459549
330.0,0.630580245432073
335.0,0.6317941631377986
340.0,0.6329922502294161
345.0,0.634174907085796
350.0,0.6353425191749644
355.0,0.6364954577832864
360.0,0.6376340807006957
365.0,0.6387587328650972
370.0,0.6398697469688357
375.0,0.6409674440298652
380.0,0.6420521339300613
385.0,0.6431241159229137
390.0,0.6441836791126612
395.0,0.6452311029067732
400.0,0.646266657443543
405.0,0.6472906039964013
410.0,0.6483031953564677
415.0,0.6493046761947188
420.0,0.6502952834050677
425.0,0.6512752464295426
430.0,0.6522447875666755
435.0,0.6532041222641318
440.0,0.654153459396531
445.0,0.6550930015293508
450.0,0.6560229451697408
455.0,0.6569434810050212
460.0,0.6578547941295727
465.0,0.6587570642608034
470.0,0.6596504659448041
475.0,0.6605351687522849
480.0,0.6614113374653319
485.0,0.6622791322555011
490.0,0.6631387088537246
495.0,0.66399021871247
500.0,0.6648338091605841
505.0,0.6656696235512012
510.0,0.6664978014030969
515.0,0.667318478535817
520.0,0.6681317871989267
525.0,0.6689378561956651
530.0,0.6697368110013051
535.0,0.670528773876486
540.0,0.6713138639757661
545.0,0.6720921974516445
550.0,0.6728638875542692
555.0,0.6736290447270488
560.0,0.6743877766983641
565.0,0.675140188569574
570.0,0.675886382899487
575.0,0.6766264597854721
580.0,0.677360516941369
585.0,0.6780886497723402
590.0,0.6788109514468181
595.0,0.6795275129656715
600.0,0.6802384232287291
605.0,0.6809437690987683
610.0,0.6816436354630975
615.0,0.6823381052928275
620.0,0.6830272596999438
625.0,0.6837111779922713
630.0,0.6843899377264284
635.0,0.6850636147588545
640.0,0.6857322832949952
645.0,0.6863960159367264
650.0,0.6870548837280901
655.0,0.6877089561994119
660.0,0.6883583014098758
665.0,0.6890029859886098
670.0,0.6896430751743523
675.0,0.6902786328537553
680.0,0.6909097215983788
685.0,0.6915364027004323
690.0,0.6921587362073107
695.0,0.6927767809549761
700.0,0.6933905946002299
705.0,0.6940002336519178
710.0,0.6946057535011141
715.0,0.6952072084503182
720.0,0.6958046517417102
725.0,0.6963981355844937
730.0,0.6969877111813649
735.0,0.6975734287541453
740.0,0.6981553375685956
745.0,0.6987334859584635
750.0,0.6993079213487698
755.0,0.6998786902783811
760.0,0.7004458384218841
765.0,0.7010094106107903
770.0,0.7015694508540946
775.0,0.7021260023582165
780.0,0.7026791075463352
785.0,0.7032288080771538
790.0,0.7037751448630987
795.0,0.7043181580879887
800.0,0.7048578872241804
805.0,0.705394371049215
810.0,0.7059276476619809
815.0,0.7064577544984116
820.0,0.7069847283467325
825.0,0.7075086053622694
830.0,0.7080294210818439
835.0,0.7085472104377555
840.0,0.7090620077713758
845.0,0.7095738468463622
850.0,0.7100827608615043
855.0,0.7105887824632169
860.0,0.7110919437576899
865.0,0.7115922763227056
