m_x,br_gg,br_zz,xsec,exsec,xsec_br_zz,br_zz_lo,xsec_lo,xsec_br_lo_smw,xsec_br_nlo_smw,xsec_pythia
1100.0,6e-07,0.000744,0.0976741,6.5099e-06,7.26701e-05,0.000744,0.0285201,1.51162e-05,5.31011e-05,0.03575325624185742
1200.0,9e-07,0.0009723,0.06979565,4.65685e-06,6.786240000000001e-05,0.0009723,0.0164349,1.2147e-05,4.961e-05,0.020423640803884823
1300.0,1.2e-06,0.0012425,0.0506427,3.38285e-06,6.292590000000001e-05,0.0012425,0.00974476,9.77216e-06,4.61957e-05,0.012048583073492982
1400.0,1.6e-06,0.0015582,0.03723075,2.489875e-06,5.80143e-05,0.0015582,0.00592411,7.875570000000001e-06,4.28803e-05,0.0073571097984643135
1500.0,2e-06,0.0019229,0.0276837,1.853735e-06,-1.0,0.0019229,0.00368156,6.36109e-06,3.96837e-05,0.004562366609317064
1600.0,2.6e-06,0.0023399,0.0207909,1.3939300000000003e-06,-1.0,0.0023399,0.00233301,5.15084e-06,3.66237e-05,0.0028930376422700846
1700.0,3.1e-06,0.0028129,0.01575195,1.057505e-06,-1.0,0.0028129,0.00150436,4.182240000000001e-06,3.37126e-05,0.0018761159513936282
1800.0,3.8e-06,0.0033453,0.01202745,8.08585e-07,-1.0,0.0033453,0.000985254,3.4055000000000003e-06,3.09586e-05,0.001225567173196984
1900.0,4.6e-06,0.0039406,0.00924729,6.2254e-07,-1.0,0.0039406,0.0006543639999999,2.7811300000000003e-06,2.8366100000000003e-05,0.0008407508701546966
2000.0,5.4e-06,0.0046023,0.007153845,4.8234e-07,-1.0,0.0046023,0.0004401209999999,2.2779800000000003e-06,2.59366e-05,0.0005507524843759097
2100.0,6.3e-06,0.0053339,0.00556505,3.758e-07,-1.0,0.0053339,0.000299426,1.87141e-06,2.3669e-05,0.00038549498375343576
2200.0,7.3e-06,0.0061389,0.0043507549999999,2.9428e-07,-1.0,0.0061389,0.0002058359999999,1.54201e-06,2.15604e-05,0.0002609790611272547
2300.0,8.4e-06,0.0070208,0.00341676,2.315025e-07,-1.0,0.0070208,0.000142846,1.27437e-06,1.96064e-05,0.0001830404030139698
2400.0,9.6e-06,0.0079831,0.00269418,1.8287300000000005e-07,-1.0,0.0079831,9.99937e-05,1.05631e-06,1.7800799999999997e-05,0.0001288294078606016
2500.0,1.1e-05,0.0090293,0.002132195,1.45005e-07,-1.0,0.0090293,7.055269999999999e-05,8.78151e-07,1.6136899999999998e-05,9.313506184653842e-05
2600.0,1.24e-05,0.0101629,0.001693015,1.153715e-07,-1.0,0.0101629,5.01422e-05,7.32178e-07,1.46073e-05,6.522948192222868e-05
2700.0,1.4e-05,0.0113873,0.001348305,9.207600000000001e-08,-1.0,0.0113873,3.58742e-05,6.122499999999999e-07,1.32044e-05,4.617856874027261e-05
2800.0,1.56e-05,0.0127061,0.001076655,7.36875e-08,-1.0,0.0127061,2.58234e-05,5.13454e-07,1.19204e-05,3.3728308786749066e-05
2900.0,1.74e-05,0.0141227,0.0008618075,5.9125000000000015e-08,-1.0,0.0141227,1.86931e-05,4.31849e-07,1.07474e-05,2.478680305740873e-05
3000.0,1.93e-05,0.0156408,0.0006913215,4.75485e-08,-1.0,0.0156408,1.36017e-05,3.64266e-07,9.67792e-06,1.773728926735147e-05
3100.0,2.14e-05,0.0172636,0.000555632,3.8318e-08,-1.0,0.0172636,9.94409e-06,3.08151e-07,-1.0,1.2990328331880473e-05
3200.0,2.36e-05,0.0189948,0.000447343,3.09365e-08,-1.0,0.0189948,7.30191e-06,2.61441e-07,0.0,9.658005043811334e-06
3300.0,2.59e-05,0.0208379,0.000360706,2.50235e-08,-1.0,0.0208379,5.383350000000001e-06,2.22461e-07,0.0,7.038610862600279e-06
3400.0,2.84e-05,0.0227963,0.0002912345,2.0270850000000002e-08,-1.0,0.0227963,3.98355e-06,1.89849e-07,0.0,5.358852062954628e-06
3500.0,3.11e-05,0.0248735,0.000235413,1.64435e-08,-1.0,0.0248735,2.9577100000000004e-06,1.62498e-07,0.0,3.911883141659809e-06
3600.0,3.39e-05,0.027073,0.000190477,1.335525e-08,-1.0,0.027073,2.20285e-06,1.39501e-07,0.0,2.860357870940345e-06
3700.0,3.68e-05,0.0293984,0.0001542445,1.08595e-08,-1.0,0.0293984,1.64528e-06,1.2011700000000004e-07,0.0,2.1919825179928212e-06
3800.0,4e-05,0.0318531,0.000124987,8.83865e-09,-1.0,0.0318531,1.232e-06,1.0374000000000001e-07,0.0,1.6366520006334704e-06
3900.0,4.33e-05,0.0344406,0.000101331,7.20055e-09,-1.0,0.0344406,9.24675e-07,8.98668e-08,0.0,1.2065629664658327e-06
4000.0,4.67e-05,0.0371644,8.21833e-05,5.87065e-09,-1.0,0.0371644,6.95471e-07,7.8087e-08,0.0,9.261696567945522e-07
4100.0,5.04e-05,0.040028,6.66691e-05,4.789799999999999e-09,-1.0,0.040028,5.24064e-07,6.80593e-08,0.0,6.936856615117722e-07
4200.0,5.42e-05,0.0430349,5.408875e-05,3.9103e-09,-1.0,0.0430349,3.9556e-07,5.95018e-08,0.0,5.271973101888391e-07
4300.0,5.82e-05,0.0461886,4.388055000000001e-05,3.19415e-09,-1.0,0.0461886,2.99002e-07,5.21806e-08,0.0,3.8567120501959607e-07
4400.0,6.24e-05,0.0494926,3.55927e-05,2.6105e-09,-1.0,0.0494926,2.26299e-07,4.5901e-08,0.0,2.9735789356230207e-07
4500.0,6.68e-05,0.0529504,2.88614e-05,2.13445e-09,-1.0,0.0529504,1.71457e-07,4.05011e-08,0.0,2.2024096644922403e-07
4600.0,7.15e-05,0.0565654,2.33929e-05,1.746025e-09,-1.0,0.0565654,1.3002e-07,3.5845800000000005e-08,0.0,1.6809664786093516e-07
4700.0,7.63e-05,0.0603412,1.89496e-05,1.4288499999999999e-09,-1.0,0.0603412,9.86648e-08,3.18219e-08,0.0,1.2580302376149917e-07
4800.0,8.13e-05,0.0642813,1.53393e-05,1.169765e-09,-1.0,0.0642813,7.4909e-08,2.8334600000000003e-08,0.0,9.684037646250106e-08
4900.0,8.65e-05,0.0683892,1.24061e-05,9.58475e-10,-1.0,0.0683892,5.68908e-08,2.53043e-08,0.0,7.341938536149698e-08
5000.0,9.2e-05,0.0726683,1.00237e-05,7.879150000000001e-10,-1.0,0.0726683,4.32119e-08,2.2664e-08,0.0,5.5936124425172845e-08
