m_x,gtot
90.0,0.8168998253841593
95.0,0.8168644906140435
100.0,0.816825541242992
105.0,0.816784198874743
110.0,0.8167413534755316
115.0,0.8166976573257861
120.0,0.8166535903034946
125.0,0.8166095059253817
130.0,0.8165656642522313
135.0,0.8165222556886466
140.0,0.8164794183827657
145.0,0.8164372510703937
150.0,0.816395822638877
155.0,0.8163551793040459
160.0,0.8163153500334323
165.0,0.8611469596607072
170.0,0.8786594128128472
175.0,0.889432510062502
180.0,0.896840940386341
185.0,0.9191814158259437
190.0,0.9335821362169975
195.0,0.9426500339585525
200.0,0.9490910705586126
205.0,0.9538626928577503
210.0,0.9574695615934015
215.0,0.9602231543781963
220.0,0.9623326044032169
225.0,0.9639458083894056
230.0,0.9651710912937184
235.0,0.9660898268094393
240.0,0.9667643233497548
245.0,0.9672430114857828
250.0,0.9675639920851813
255.0,0.9677595822527678
260.0,0.9678586579016636
265.0,0.9678822639718347
270.0,0.9678465549309156
275.0,0.9677642365754565
280.0,0.9676454107539333
285.0,0.9674981636422975
290.0,0.9673289986810736
295.0,0.9671431642238889
300.0,0.9669449058794602
305.0,0.9667376632877905
310.0,0.9665242250444916
315.0,0.9663068516286937
320.0,0.9660873735846044
325.0,0.9658672703831033
330.0,0.9656477340799036
335.0,0.9654297209276659
340.0,0.9652139933861676
345.0,0.965001154437591
350.0,0.9651540006133706
355.0,0.965757335717234
360.0,0.9665631389563492
365.0,0.9674923239721567
370.0,0.9685002839147895
375.0,0.9695579625295188
380.0,0.9706451108613355
385.0,0.9717470788725195
390.0,0.972853031555572
395.0,0.9739548544266571
400.0,0.9750464351469784
405.0,0.9761231685665653
410.0,0.9771816031385139
415.0,0.9782191812308465
420.0,0.9792340442276125
425.0,0.9802248837190017
430.0,0.9811908263000343
435.0,0.9821313433812696
440.0,0.9830461799316189
445.0,0.9839352977561057
450.0,0.9847988300673727
455.0,0.9856370449225231
460.0,0.9864503156800357
465.0,0.9872390970573979
470.0,0.9880039056860147
475.0,0.9887453042974493
480.0,0.9894638888559053
485.0,0.9901602780909236
490.0,0.9908351049923366
495.0,0.991489009914183
500.0,0.9921226350011214
510.0,0.9933315971940704
520.0,0.994467015369067
530.0,0.9955337357111486
540.0,0.9965363769985554
550.0,0.9974793035086921
560.0,0.9983666133139194
570.0,0.9992021368978119
580.0,0.9999894425632814
590.0,1.000731846173133
600.0,1.001432423510883
610.0,1.0020940240749725
620.0,1.0027192854901832
630.0,1.0033106479823715
640.0,1.003870368548317
650.0,1.0044005345838452
660.0,1.0049030768259561
670.0,1.00537978152963
680.0,1.0058323018449844
690.0,1.0062621683913193
700.0,1.006670799045214
710.0,1.0070595079732017
720.0,1.0074295139477547
730.0,1.00778194798981
740.0,1.0081178603830836
750.0,1.008438227105602
760.0,1.0087439557229372
770.0,1.0090358907858648
780.0,1.0093148187729788
790.0,1.009581472616293
800.0,1.0098365358452588
810.0,1.010080646382052
820.0,1.0103144000183715
830.0,1.0105383536015857
840.0,1.0107530279556989
850.0,1.0109589105604426
860.0,1.0111564580097652
870.0,1.0113460982690923
880.0,1.011528232749026
890.0,1.011703238211538
900.0,1.0118714685232708
910.0,1.0120332562692278
920.0,1.0121889142389358
930.0,1.0123387367960421
940.0,1.0124830011413444
950.0,1.0126219684783022
960.0,1.0127558850893057
970.0,1.0128849833301812
980.0,1.0130094825497824
990.0,1.013129589940876
1000.0,1.01324550132798
1010.0,1.013357401897318
1020.0,1.013465466873598
1030.0,1.0135698621478912
1040.0,1.0136707448605355
1050.0,1.0137682639426373
1060.0,1.013862560619435
